# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.899   Z = 0.0019750   Y = 0.24956900   Age (Myr) = 10500.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -3.04484  3.46639   13.4043  15.0086  12.2010  11.5800
   0.1020131292   0.1020131292  -3.01130  3.47092   13.2902  14.8479  12.0993  11.4805
   0.1040262585   0.1040262585  -2.97841  3.47537   13.1790  14.6930  12.0002  11.3843
   0.1060393877   0.1060393877  -2.94614  3.47973   13.0708  14.5438  11.9038  11.2914
   0.1080525169   0.1080525169  -2.91447  3.48402   12.9653  14.4000  11.8098  11.2015
   0.1100656462   0.1100656462  -2.88339  3.48822   12.8622  14.2607  11.7180  11.1145
   0.1120787754   0.1120787754  -2.85286  3.49235   12.7608  14.1251  11.6277  11.0298
   0.1140919046   0.1140919046  -2.82288  3.49641   12.6614  13.9931  11.5389  10.9473
   0.1161050339   0.1161050339  -2.79341  3.50040   12.5644  13.8656  11.4524  10.8669
   0.1181181631   0.1181181631  -2.76445  3.50432   12.4707  13.7437  11.3686  10.7883
   0.1201312923   0.1201312923  -2.73652  3.50805   12.3826  13.6305  11.2898  10.7132
   0.1221444215   0.1221444215  -2.71693  3.50992   12.3248  13.5603  11.2366  10.6619
   0.1241575508   0.1241575508  -2.69765  3.51177   12.2677  13.4910  11.1841  10.6114
   0.1261706800   0.1261706800  -2.67868  3.51358   12.2110  13.4221  11.1320  10.5618
   0.1281838092   0.1281838092  -2.66001  3.51537   12.1543  13.3531  11.0799  10.5131
   0.1301969385   0.1301969385  -2.64163  3.51713   12.0973  13.2835  11.0277  10.4651
   0.1322100677   0.1322100677  -2.62352  3.51886   12.0398  13.2130  10.9751  10.4178
   0.1342231969   0.1342231969  -2.60569  3.52057   11.9816  13.1412  10.9219  10.3713
   0.1362363262   0.1362363262  -2.58812  3.52225   11.9230  13.0689  10.8685  10.3254
   0.1382494554   0.1382494554  -2.57081  3.52391   11.8645  12.9966  10.8151  10.2802
   0.1402625846   0.1402625846  -2.55374  3.52554   11.8063  12.9247  10.7621  10.2357
   0.1422757139   0.1422757139  -2.53692  3.52715   11.7487  12.8540  10.7096  10.1919
   0.1442888431   0.1442888431  -2.52033  3.52874   11.6921  12.7847  10.6580  10.1488
   0.1463019723   0.1463019723  -2.50396  3.53031   11.6367  12.7175  10.6074  10.1064
   0.1483151016   0.1483151016  -2.48782  3.53185   11.5828  12.6527  10.5581  10.0648
   0.1503282308   0.1503282308  -2.47233  3.53329   11.5324  12.5929  10.5117  10.0250
   0.1523413600   0.1523413600  -2.45922  3.53422   11.4923  12.5471  10.4743   9.9916
   0.1543544893   0.1543544893  -2.44628  3.53515   11.4532  12.5024  10.4377   9.9587
   0.1563676185   0.1563676185  -2.43350  3.53607   11.4148  12.4590  10.4018   9.9262
   0.1583807477   0.1583807477  -2.42089  3.53697   11.3772  12.4165  10.3666   9.8942
   0.1603938770   0.1603938770  -2.40843  3.53786   11.3403  12.3751  10.3320   9.8626
   0.1624070062   0.1624070062  -2.39613  3.53874   11.3041  12.3346  10.2981   9.8315
   0.1644201354   0.1644201354  -2.38395  3.53961   11.2686  12.2949  10.2648   9.8007
   0.1664332646   0.1664332646  -2.37180  3.54048   11.2334  12.2558  10.2317   9.7699
   0.1684463939   0.1684463939  -2.35979  3.54133   11.1988  12.2174  10.1993   9.7396
   0.1704595231   0.1704595231  -2.34791  3.54218   11.1648  12.1797  10.1673   9.7096
   0.1724726523   0.1724726523  -2.33615  3.54302   11.1314  12.1427  10.1359   9.6799
   0.1744857816   0.1744857816  -2.32452  3.54384   11.0986  12.1064  10.1050   9.6506
   0.1764989108   0.1764989108  -2.31301  3.54466   11.0662  12.0707  10.0746   9.6215
   0.1785120400   0.1785120400  -2.30163  3.54547   11.0344  12.0355  10.0447   9.5928
   0.1805251693   0.1805251693  -2.29053  3.54623   11.0035  12.0016  10.0156   9.5649
   0.1825382985   0.1825382985  -2.28004  3.54689   10.9748  11.9701   9.9884   9.5385
   0.1845514277   0.1845514277  -2.26965  3.54755   10.9464  11.9390   9.9615   9.5123
   0.1865645570   0.1865645570  -2.25937  3.54819   10.9183  11.9084   9.9349   9.4865
   0.1885776862   0.1885776862  -2.24919  3.54883   10.8906  11.8781   9.9087   9.4609
   0.1905908154   0.1905908154  -2.23910  3.54947   10.8632  11.8482   9.8828   9.4356
   0.1926039447   0.1926039447  -2.22912  3.55010   10.8361  11.8186   9.8571   9.4105
   0.1946170739   0.1946170739  -2.21923  3.55072   10.8094  11.7894   9.8318   9.3856
   0.1966302031   0.1966302031  -2.20943  3.55133   10.7829  11.7605   9.8067   9.3611
   0.1986433324   0.1986433324  -2.19972  3.55194   10.7567  11.7319   9.7819   9.3367
   0.2006564616   0.2006564616  -2.19026  3.55252   10.7312  11.7041   9.7577   9.3130
   0.2026695908   0.2026695908  -2.18120  3.55304   10.7069  11.6777   9.7346   9.2903
   0.2046827201   0.2046827201  -2.17223  3.55356   10.6828  11.6516   9.7117   9.2678
   0.2066958493   0.2066958493  -2.16334  3.55407   10.6589  11.6257   9.6891   9.2456
   0.2087089785   0.2087089785  -2.15453  3.55458   10.6353  11.6000   9.6666   9.2235
   0.2107221077   0.2107221077  -2.14579  3.55509   10.6119  11.5746   9.6444   9.2017
   0.2127352370   0.2127352370  -2.13714  3.55559   10.5887  11.5494   9.6223   9.1800
   0.2147483662   0.2147483662  -2.12856  3.55608   10.5657  11.5244   9.6004   9.1586
   0.2167614954   0.2167614954  -2.12006  3.55657   10.5428  11.4996   9.5787   9.1373
   0.2187746247   0.2187746247  -2.11163  3.55706   10.5202  11.4750   9.5572   9.1163
   0.2207877539   0.2207877539  -2.10328  3.55754   10.4977  11.4506   9.5358   9.0954
   0.2228008831   0.2228008831  -2.09499  3.55801   10.4754  11.4264   9.5146   9.0747
   0.2248140124   0.2248140124  -2.08678  3.55849   10.4532  11.4023   9.4936   9.0542
   0.2268271416   0.2268271416  -2.07863  3.55895   10.4313  11.3785   9.4728   9.0339
   0.2288402708   0.2288402708  -2.07055  3.55942   10.4095  11.3548   9.4521   9.0137
   0.2308534001   0.2308534001  -2.06254  3.55988   10.3879  11.3313   9.4315   8.9937
   0.2328665293   0.2328665293  -2.05459  3.56033   10.3664  11.3080   9.4112   8.9739
   0.2348796585   0.2348796585  -2.04671  3.56078   10.3452  11.2849   9.3910   8.9542
   0.2368927878   0.2368927878  -2.03889  3.56123   10.3240  11.2619   9.3709   8.9347
   0.2389059170   0.2389059170  -2.03113  3.56167   10.3031  11.2391   9.3510   8.9154
   0.2409190462   0.2409190462  -2.02344  3.56211   10.2823  11.2165   9.3312   8.8962
   0.2429321755   0.2429321755  -2.01580  3.56255   10.2616  11.1941   9.3116   8.8772
   0.2449453047   0.2449453047  -2.00822  3.56298   10.2411  11.1718   9.2922   8.8583
   0.2469584339   0.2469584339  -2.00067  3.56341   10.2207  11.1496   9.2728   8.8395
   0.2489715632   0.2489715632  -1.99313  3.56384   10.2003  11.1274   9.2534   8.8207
   0.2509846924   0.2509846924  -1.98573  3.56425   10.1803  11.1057   9.2344   8.8023
   0.2529978216   0.2529978216  -1.97848  3.56465   10.1607  11.0845   9.2158   8.7842
   0.2550109508   0.2550109508  -1.97132  3.56505   10.1414  11.0635   9.1974   8.7664
   0.2570240801   0.2570240801  -1.96424  3.56544   10.1223  11.0428   9.1792   8.7488
   0.2590372093   0.2590372093  -1.95725  3.56582   10.1034  11.0223   9.1613   8.7314
   0.2610503385   0.2610503385  -1.95034  3.56620   10.0848  11.0020   9.1435   8.7142
   0.2630634678   0.2630634678  -1.94350  3.56658   10.0663  10.9820   9.1260   8.6972
   0.2650765970   0.2650765970  -1.93660  3.56696   10.0477  10.9618   9.1082   8.6800
   0.2670897262   0.2670897262  -1.92978  3.56733   10.0293  10.9418   9.0907   8.6630
   0.2691028555   0.2691028555  -1.92304  3.56770   10.0111  10.9221   9.0734   8.6463
   0.2711159847   0.2711159847  -1.91638  3.56806    9.9931  10.9026   9.0563   8.6297
   0.2731291139   0.2731291139  -1.90979  3.56843    9.9753  10.8833   9.0394   8.6133
   0.2751422432   0.2751422432  -1.90322  3.56878    9.9576  10.8641   9.0226   8.5970
   0.2771553724   0.2771553724  -1.89672  3.56914    9.9401  10.8451   9.0059   8.5808
   0.2791685016   0.2791685016  -1.89030  3.56949    9.9227  10.8263   8.9894   8.5649
   0.2811816309   0.2811816309  -1.88395  3.56984    9.9056  10.8077   8.9732   8.5491
   0.2831947601   0.2831947601  -1.87756  3.57018    9.8884  10.7891   8.9568   8.5332
   0.2852078893   0.2852078893  -1.87122  3.57052    9.8713  10.7706   8.9405   8.5174
