# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.300   Z = 0.0007870   Y = 0.24801591   Age (Myr) = 1000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -2.72652  3.51891   12.2714  13.3966  11.2321  10.6874
   0.1054212050   0.1054212050  -2.70268  3.52294   12.1861  13.2893  11.1555  10.6283
   0.1108424099   0.1108424099  -2.69583  3.52702   12.1409  13.2234  11.1186  10.6115
   0.1162636149   0.1162636149  -2.69817  3.53204   12.1145  13.1745  11.1017  10.6177
   0.1216848199   0.1216848199  -2.62435  3.54064   11.8851  12.9101  10.8899  10.4364
   0.1271060249   0.1271060249  -2.57213  3.54545   11.7336  12.7401  10.7488  10.3064
   0.1325272298   0.1325272298  -2.52603  3.54989   11.6006  12.5891  10.6260  10.1911
   0.1379484348   0.1379484348  -2.48014  3.55423   11.4694  12.4396  10.5049  10.0759
   0.1433696398   0.1433696398  -2.43497  3.55843   11.3402  12.2927  10.3857   9.9624
   0.1487908448   0.1487908448  -2.39125  3.56250   11.2148  12.1501  10.2697   9.8521
   0.1542120497   0.1542120497  -2.35524  3.56521   11.1138  12.0376  10.1752   9.7613
   0.1596332547   0.1596332547  -2.32229  3.56749   11.0221  11.9363  10.0890   9.6781
   0.1650544597   0.1650544597  -2.29042  3.56970   10.9335  11.8382  10.0056   9.5975
   0.1704756647   0.1704756647  -2.25957  3.57183   10.8477  11.7432   9.9250   9.5193
   0.1758968696   0.1758968696  -2.22926  3.57391   10.7635  11.6500   9.8458   9.4424
   0.1813180746   0.1813180746  -2.20025  3.57584   10.6832  11.5612   9.7702   9.3688
   0.1867392796   0.1867392796  -2.17385  3.57742   10.6107  11.4819   9.7016   9.3019
   0.1921604846   0.1921604846  -2.14816  3.57896   10.5403  11.4047   9.6350   9.2368
   0.1975816895   0.1975816895  -2.12313  3.58046   10.4717  11.3296   9.5700   9.1734
   0.2030028945   0.2030028945  -2.09959  3.58181   10.4074  11.2594   9.5091   9.1138
   0.2084240995   0.2084240995  -2.07730  3.58304   10.3467  11.1933   9.4514   9.0574
   0.2138453045   0.2138453045  -2.05556  3.58424   10.2875  11.1289   9.3952   9.0024
   0.2192665094   0.2192665094  -2.03434  3.58541   10.2297  11.0659   9.3403   8.9487
   0.2246877144   0.2246877144  -2.01360  3.58655   10.1733  11.0044   9.2866   8.8963
   0.2301089194   0.2301089194  -1.99334  3.58766   10.1180  10.9442   9.2342   8.8450
   0.2355301243   0.2355301243  -1.97352  3.58875   10.0640  10.8853   9.1829   8.7948
   0.2409513293   0.2409513293  -1.95414  3.58981   10.0111  10.8277   9.1326   8.7457
   0.2463725343   0.2463725343  -1.93516  3.59085    9.9593  10.7712   9.0834   8.6976
   0.2517937393   0.2517937393  -1.91684  3.59184    9.9093  10.7166   9.0359   8.6512
   0.2572149442   0.2572149442  -1.89943  3.59276    9.8618  10.6649   8.9908   8.6071
   0.2626361492   0.2626361492  -1.88237  3.59367    9.8153  10.6143   8.9466   8.5638
   0.2680573542   0.2680573542  -1.86563  3.59456    9.7697  10.5646   8.9032   8.5214
   0.2734785592   0.2734785592  -1.84922  3.59542    9.7249  10.5159   8.8606   8.4798
   0.2788997641   0.2788997641  -1.83311  3.59628    9.6810  10.4681   8.8189   8.4390
   0.2843209691   0.2843209691  -1.81730  3.59711    9.6380  10.4213   8.7780   8.3989
   0.2897421741   0.2897421741  -1.80177  3.59793    9.5957  10.3753   8.7378   8.3596
   0.2951633791   0.2951633791  -1.78651  3.59873    9.5542  10.3303   8.6984   8.3211
   0.3005845840   0.3005845840  -1.77130  3.59953    9.5130  10.2856   8.6592   8.2827
   0.3060057890   0.3060057890  -1.75462  3.60034    9.4681  10.2371   8.6163   8.2407
   0.3114269940   0.3114269940  -1.73809  3.60113    9.4238  10.1894   8.5740   8.1992
   0.3168481990   0.3168481990  -1.72172  3.60190    9.3799  10.1422   8.5321   8.1582
   0.3222694039   0.3222694039  -1.70550  3.60266    9.3366  10.0958   8.4907   8.1175
   0.3276906089   0.3276906089  -1.68941  3.60340    9.2938  10.0499   8.4497   8.0773
   0.3331118139   0.3331118139  -1.67344  3.60412    9.2514  10.0045   8.4091   8.0375
   0.3385330189   0.3385330189  -1.65758  3.60483    9.2094   9.9597   8.3689   7.9980
   0.3439542238   0.3439542238  -1.64184  3.60552    9.1677   9.9153   8.3290   7.9588
   0.3493754288   0.3493754288  -1.62619  3.60619    9.1264   9.8713   8.2894   7.9198
   0.3547966338   0.3547966338  -1.61047  3.60719    9.0838   9.8249   8.2493   7.8808
   0.3602178388   0.3602178388  -1.59601  3.60823    9.0443   9.7815   8.2123   7.8449
   0.3656390437   0.3656390437  -1.58153  3.60924    9.0048   9.7382   8.1753   7.8090
   0.3710602487   0.3710602487  -1.56701  3.61023    8.9654   9.6951   8.1383   7.7730
   0.3764814537   0.3764814537  -1.55244  3.61119    8.9259   9.6519   8.1012   7.7369
   0.3819026586   0.3819026586  -1.53781  3.61212    8.8863   9.6088   8.0639   7.7006
   0.3873238636   0.3873238636  -1.52307  3.61304    8.8465   9.5655   8.0264   7.6641
   0.3927450686   0.3927450686  -1.50836  3.61395    8.8068   9.5222   7.9890   7.6276
   0.3981662736   0.3981662736  -1.49378  3.61483    8.7674   9.4794   7.9518   7.5914
   0.4035874785   0.4035874785  -1.47694  3.61610    8.7210   9.4280   7.9086   7.5496
   0.4090086835   0.4090086835  -1.45912  3.61756    8.6715   9.3728   7.8628   7.5054
   0.4144298885   0.4144298885  -1.44157  3.61900    8.6227   9.3183   7.8176   7.4618
   0.4198510935   0.4198510935  -1.42427  3.62042    8.5746   9.2645   7.7732   7.4189
   0.4252722984   0.4252722984  -1.40721  3.62182    8.5272   9.2116   7.7293   7.3766
   0.4306935034   0.4306935034  -1.39038  3.62320    8.4805   9.1594   7.6862   7.3350
   0.4361147084   0.4361147084  -1.37379  3.62456    8.4344   9.1081   7.6437   7.2941
   0.4415359134   0.4415359134  -1.35741  3.62590    8.3891   9.0575   7.6018   7.2537
   0.4469571183   0.4469571183  -1.34125  3.62722    8.3444   9.0078   7.5606   7.2140
   0.4523783233   0.4523779410  -1.32371  3.62887    8.2952   8.9523   7.5157   7.1710
   0.4577995283   0.4577982512  -1.30432  3.63094    8.2401   8.8895   7.4661   7.1237
   0.4632207333   0.4632185290  -1.28515  3.63299    8.1857   8.8276   7.4171   7.0772
   0.4686419382   0.4686387749  -1.26620  3.63503    8.1321   8.7665   7.3688   7.0312
   0.4740631432   0.4740589893  -1.24746  3.63704    8.0791   8.7062   7.3211   6.9859
   0.4794843482   0.4794791327  -1.22891  3.63904    8.0266   8.6465   7.2739   6.9412
   0.4849055532   0.4848992034  -1.21055  3.64101    7.9746   8.5873   7.2272   6.8969
   0.4903267581   0.4903192212  -1.19238  3.64297    7.9231   8.5285   7.1810   6.8531
   0.4957479631   0.4957391867  -1.17441  3.64491    7.8720   8.4700   7.1353   6.8097
   0.5011691681   0.5011594749  -1.15607  3.64693    7.8196   8.4098   7.0885   6.7655
   0.5065903730   0.5065814898  -1.13604  3.64927    7.7620   8.3432   7.0374   6.7172
   0.5120115780   0.5120035736  -1.11622  3.65159    7.7051   8.2777   6.9869   6.6695
   0.5174327830   0.5174257250  -1.09661  3.65389    7.6491   8.2136   6.9371   6.6223
   0.5228539880   0.5228479161  -1.07719  3.65617    7.5940   8.1510   6.8879   6.5755
   0.5282751929   0.5282701822  -1.05796  3.65843    7.5396   8.0897   6.8393   6.5291
   0.5336963979   0.5336925249  -1.03893  3.66067    7.4859   8.0292   6.7912   6.4833
   0.5391176029   0.5391149422  -1.02008  3.66289    7.4326   7.9691   6.7435   6.4378
   0.5445388079   0.5445374336  -1.00140  3.66509    7.3796   7.9091   6.6962   6.3927
   0.5499600128   0.5499600025  -0.98291  3.66727    7.3270   7.8495   6.6493   6.3481
