# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -2.199   Z = 0.0000996   Y = 0.24711700   Age (Myr) = 13000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -2.91150  3.51665   12.5679  13.6580  11.5459  11.0136
   0.1017679077   0.1017679077  -2.88122  3.52042   12.4828  13.5578  11.4668  10.9508
   0.1035358155   0.1035358155  -2.85144  3.52412   12.3956  13.4565  11.3850  10.8916
   0.1053037232   0.1053037232  -2.82213  3.52777   12.3076  13.3550  11.3021  10.8338
   0.1070716310   0.1070716310  -2.79322  3.53137   12.2198  13.2544  11.2198  10.7749
   0.1088395387   0.1088395387  -2.76476  3.53492   12.1338  13.1559  11.1396  10.7137
   0.1106074465   0.1106074465  -2.73675  3.53840   12.0501  13.0600  11.0621  10.6504
   0.1123753542   0.1123753542  -2.70916  3.54184   11.9691  12.9666  10.9878  10.5858
   0.1141432620   0.1141432620  -2.68199  3.54522   11.8910  12.8759  10.9168  10.5206
   0.1159111697   0.1159111697  -2.65522  3.54855   11.8158  12.7877  10.8489  10.4555
   0.1176790775   0.1176790775  -2.62884  3.55183   11.7428  12.7014  10.7834  10.3908
   0.1194469852   0.1194469852  -2.60284  3.55507   11.6712  12.6164  10.7193  10.3268
   0.1212148930   0.1212148930  -2.58263  3.55716   11.6163  12.5529  10.6693  10.2770
   0.1229828007   0.1229828007  -2.56514  3.55872   11.5692  12.4994  10.6259  10.2340
   0.1247507085   0.1247507085  -2.54788  3.56025   11.5227  12.4465  10.5829  10.1915
   0.1265186162   0.1265186162  -2.53086  3.56177   11.4766  12.3941  10.5405  10.1497
   0.1282865240   0.1282865240  -2.51406  3.56326   11.4311  12.3424  10.4985  10.1084
   0.1300544317   0.1300544317  -2.49748  3.56474   11.3861  12.2913  10.4570  10.0677
   0.1318223395   0.1318223395  -2.48110  3.56619   11.3417  12.2409  10.4160  10.0275
