# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 20.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.08546  3.48876   11.1499  12.7335   9.9281   9.3518
   0.1358687672   0.1358687672  -1.89939  3.50212   10.5744  12.0344   9.3906   8.8161
   0.1717375345   0.1717375345  -1.75650  3.51238   10.1432  11.5221   8.9880   8.4165
   0.2076063017   0.2076063017  -1.64070  3.52060    9.7888  11.0941   8.6580   8.0941
   0.2434750690   0.2434750690  -1.54364  3.52736    9.4826  10.7145   8.3738   7.8215
   0.2793438362   0.2793438362  -1.46029  3.53325    9.2228  10.3971   8.1331   7.5909
   0.3152126035   0.3152126035  -1.38696  3.53867    9.0015  10.1361   7.9283   7.3935
   0.3510813707   0.3510813707  -1.32146  3.54376    8.8077   9.9129   7.7496   7.2204
   0.3869501380   0.3869501380  -1.26267  3.54854    8.6351   9.7160   7.5910   7.0667
   0.4228189052   0.4228189052  -1.20833  3.55314    8.4757   9.5345   7.4450   6.9260
   0.4586876725   0.4586876725  -1.15731  3.55769    8.3249   9.3618   7.3074   6.7952
   0.4945564397   0.4945564397  -1.10835  3.56241    8.1775   9.1910   7.1741   6.6709
   0.5304252070   0.5304252070  -1.06057  3.56722    8.0323   9.0214   7.0433   6.5509
   0.5662939742   0.5662935289  -1.01221  3.57298    7.8802   8.8398   6.9087   6.4305
   0.6021627415   0.6021613749  -0.96270  3.57974    7.7195   8.6444   6.7687   6.3085
   0.6380315087   0.6380301421  -0.91644  3.58468    7.5772   8.4766   6.6416   6.1952
   0.6739002759   0.6738976506  -0.86599  3.59269    7.4057   8.2623   6.4955   6.0724
   0.7097690432   0.7097650432  -0.81323  3.60136    7.2244   8.0344   6.3421   5.9426
   0.7456378104   0.7456338104  -0.76048  3.60778    7.0595   7.8399   6.1969   5.8121
   0.7815065777   0.7815025777  -0.70197  3.61558    6.8738   7.6199   6.0348   5.6673
   0.8173753449   0.8173711712  -0.63707  3.62493    6.6625   7.3657   5.8526   5.5062
   0.8532441122   0.8532393252  -0.56393  3.63641    6.4232   7.0794   5.6466   5.3203
   0.8891128794   0.8891079014  -0.48076  3.65048    6.1464   6.7479   5.4101   5.1043
   0.9249816467   0.9249763969  -0.39077  3.66665    5.8577   6.4068   5.1628   4.8739
   0.9608504139   0.9608448054  -0.29607  3.68388    5.5603   6.0582   4.9080   4.6359
   0.9967191812   0.9967132140  -0.19743  3.70174    5.2621   5.7128   4.6511   4.3953
   1.0325879484   1.0325816381  -0.09028  3.71969    4.9560   5.3653   4.3837   4.1436
   1.0684567157   1.0684500311   0.02277  3.73786    4.6435   5.0130   4.1100   3.8857
   1.1043254829   1.1043184397   0.14064  3.75599    4.3290   4.6606   3.8346   3.6252
   1.1401942502   1.1401868482   0.25569  3.77303    4.0290   4.3261   3.5719   3.3758
   1.1760630174   1.1760549656   0.34096  3.78816    3.8096   4.0777   3.3862   3.2013
   1.2119317847   1.2119226653   0.37528  3.79928    3.7216   3.9689   3.3230   3.1459
   1.2478005519   1.2477910739   0.36100  3.80428    3.7577   3.9965   3.3699   3.1961
   1.2836693191   1.2836587991   0.35821  3.80686    3.7650   3.9993   3.3827   3.2106
   1.3195380864   1.3195268910   0.38855  3.81007    3.6890   3.9173   3.3141   3.1442
   1.3554068536   1.3553949807   0.45755  3.81690    3.5168   3.7330   3.1578   2.9929
   1.3912756209   1.3912628672   0.52281  3.82413    3.3546   3.5582   3.0124   2.8531
   1.4271443881   1.4271306518   0.59392  3.83434    3.1788   3.3652   2.8608   2.7094
   1.4630131554   1.4629982874   0.66937  3.84905    2.9952   3.1577   2.7119   2.5727
   1.4988819226   1.4988658974   0.73182  3.86550    2.8475   2.9846   2.6035   2.4791
   1.5347506899   1.5347331559   0.77389  3.87835    2.7509   2.8691   2.5380   2.4257
   1.5706194571   1.5706007567   0.80759  3.88853    2.6752   2.7786   2.4871   2.3847
   1.6064882244   1.6064680842   0.84480  3.89758    2.5910   2.6817   2.4255   2.3319
   1.6423569916   1.6423356469   0.88464  3.90645    2.5015   2.5795   2.3584   2.2734
   1.6782257589   1.6782031531   0.92451  3.91526    2.4140   2.4796   2.2935   2.2168
   1.7140945261   1.7140706603   0.96316  3.92368    2.3320   2.3862   2.2327   2.1631
   1.7499632934   1.7499381234   1.00040  3.93163    2.2544   2.2983   2.1747   2.1113
   1.7858320606   1.7858055979   1.03685  3.93941    2.1820   2.2167   2.1194   2.0614
   1.8217008278   1.8216732121   1.07216  3.94679    2.1137   2.1404   2.0660   2.0128
   1.8575695951   1.8575409205   1.10649  3.95387    2.0482   2.0678   2.0141   1.9655
   1.8934383623   1.8934086390   1.14015  3.96081    1.9879   2.0015   1.9652   1.9205
   1.9293071296   1.9292760748   1.17278  3.96735    1.9298   1.9379   1.9176   1.8765
   1.9651758968   1.9651430230   1.20475  3.97371    1.8749   1.8781   1.8720   1.8339
   2.0010446641   2.0010100146   1.23617  3.97993    1.8218   1.8204   1.8276   1.7921
   2.0369134313   2.0368903061   1.26675  3.98581    1.7706   1.7654   1.7839   1.7505
   2.0727821986   2.0727717808   1.29678  3.99157    1.7208   1.7119   1.7413   1.7098
   2.1086509658   2.1086509658   1.32625  3.99719    1.6726   1.6602   1.6995   1.6699
   2.1445197331   2.1445197331   1.35503  4.00259    1.6254   1.6099   1.6585   1.6305
   2.1803885003   2.1803885003   1.38338  4.00786    1.5793   1.5609   1.6176   1.5911
   2.2162572676   2.2162572676   1.41120  4.01299    1.5339   1.5129   1.5773   1.5522
   2.2521260348   2.2521260348   1.43849  4.01796    1.4893   1.4658   1.5375   1.5138
   2.2879948021   2.2879948021   1.46535  4.02284    1.4457   1.4198   1.4984   1.4759
   2.3238635693   2.3238630773   1.49159  4.02761    1.4034   1.3752   1.4603   1.4389
   2.3597323365   2.3597312505   1.51736  4.03228    1.3619   1.3316   1.4229   1.4024
   2.3956011038   2.3955999398   1.54275  4.03687    1.3212   1.2888   1.3859   1.3663
   2.4314698710   2.4314687634   1.56775  4.04133    1.2810   1.2467   1.3491   1.3303
   2.4673386383   2.4673364988   1.59242  4.04572    1.2412   1.2051   1.3126   1.2945
   2.5032074055   2.5032028400   1.61678  4.05002    1.2019   1.1641   1.2765   1.2589
   2.5390761728   2.5390675524   1.64078  4.05418    1.1630   1.1234   1.2404   1.2234
   2.5749449400   2.5749322606   1.66445  4.05828    1.1246   1.0835   1.2049   1.1886
   2.6108137073   2.6107971678   1.68779  4.06229    1.0866   1.0441   1.1696   1.1540
   2.6466824745   2.6466634226   1.71073  4.06619    1.0493   1.0053   1.1349   1.1199
   2.6825512418   2.6825296592   1.73336  4.07004    1.0125   0.9672   1.1007   1.0863
   2.7184200090   2.7183956169   1.75572  4.07383    0.9762   0.9295   1.0668   1.0531
   2.7542887763   2.7542613896   1.77782  4.07757    0.9404   0.8924   1.0333   1.0202
   2.7901575435   2.7901271371   1.79963  4.08125    0.9052   0.8558   1.0003   0.9878
   2.8260263108   2.8259920093   1.82105  4.08482    0.8703   0.8197   0.9676   0.9557
   2.8618950780   2.8618564131   1.84217  4.08830    0.8358   0.7841   0.9352   0.9239
   2.8977638453   2.8977208136   1.86302  4.09174    0.8019   0.7490   0.9033   0.8925
   2.9336326125   2.9335850465   1.88364  4.09513    0.7684   0.7144   0.8718   0.8615
   2.9695013797   2.9694489954   1.90403  4.09847    0.7352   0.6801   0.8406   0.8309
   3.0053701470   3.0053129372   1.92414  4.10176    0.7026   0.6464   0.8099   0.8007
   3.0412389142   3.0411768971   1.94384  4.10496    0.6706   0.6134   0.7797   0.7710
   3.0771076815   3.0770406603   1.96333  4.10811    0.6389   0.5807   0.7499   0.7417
   3.1129764487   3.1129043951   1.98260  4.11123    0.6077   0.5485   0.7204   0.7127
   3.1488452160   3.1487678941   2.00167  4.11431    0.5769   0.5166   0.6913   0.6841
   3.1847139832   3.1846312761   2.02054  4.11735    0.5464   0.4852   0.6625   0.6558
   3.2205827505   3.2204946027   2.03920  4.12036    0.5163   0.4541   0.6341   0.6279
   3.2564515177   3.2563575921   2.05770  4.12333    0.4865   0.4234   0.6060   0.6002
   3.2923202850   3.2922205331   2.07599  4.12627    0.4570   0.3930   0.5782   0.5729
   3.3281890522   3.3280832188   2.09410  4.12917    0.4279   0.3630   0.5507   0.5458
   3.3640578195   3.3639456808   2.11204  4.13204    0.3991   0.3333   0.5235   0.5191
   3.3999265867   3.3998080616   2.12980  4.13488    0.3706   0.3040   0.4966   0.4926
   3.4357953540   3.4356701329   2.14740  4.13769    0.3424   0.2749   0.4699   0.4664
   3.4716641212   3.4715321878   2.16482  4.14046    0.3145   0.2461   0.4436   0.4405
   3.5075328884   3.5073941507   2.18203  4.14320    0.2870   0.2177   0.4175   0.4148
   3.5434016557   3.5432566840   2.19887  4.14587    0.2600   0.1900   0.3920   0.3898
   3.5792704229   3.5791189082   2.21557  4.14851    0.2333   0.1624   0.3668   0.3649
   3.6151391902   3.6149808940   2.23211  4.15112    0.2068   0.1352   0.3418   0.3403
   3.6510079574   3.6508426741   2.24850  4.15370    0.1806   0.1082   0.3171   0.3159
   3.6868767247   3.6867041821   2.26475  4.15626    0.1547   0.0815   0.2925   0.2917
   3.7227454919   3.7225655413   2.28086  4.15879    0.1289   0.0550   0.2682   0.2678
   3.7586142592   3.7584266711   2.29683  4.16130    0.1034   0.0287   0.2441   0.2440
   3.7944830264   3.7942876837   2.31266  4.16378    0.0782   0.0027   0.2202   0.2205
   3.8303517937   3.8301484707   2.32837  4.16624    0.0531  -0.0231   0.1965   0.1972
   3.8662205609   3.8660090543   2.34394  4.16867    0.0283  -0.0486   0.1731   0.1740
   3.9020893282   3.9018692648   2.35939  4.17108    0.0036  -0.0740   0.1498   0.1511
   3.9379580954   3.9377292595   2.37471  4.17347   -0.0208  -0.0991   0.1267   0.1283
   3.9738268627   3.9735889876   2.38991  4.17584   -0.0451  -0.1241   0.1037   0.1057
   4.0096956299   4.0094535033   2.40494  4.17816   -0.0691  -0.1488   0.0810   0.0833
   4.0455643971   4.0453321333   2.41970  4.18041   -0.0929  -0.1733   0.0585   0.0611
   4.0814331644   4.0812118170   2.43434  4.18263   -0.1165  -0.1976   0.0361   0.0391
   4.1173019316   4.1170927199   2.44887  4.18484   -0.1399  -0.2216   0.0139   0.0172
   4.1531706989   4.1529746717   2.46330  4.18703   -0.1632  -0.2455  -0.0081  -0.0045
   4.1890394661   4.1888578771   2.47762  4.18920   -0.1862  -0.2693  -0.0300  -0.0260
   4.2249082334   4.2247424089   2.49183  4.19136   -0.2091  -0.2928  -0.0517  -0.0474
   4.2607770006   4.2606281794   2.50595  4.19349   -0.2319  -0.3162  -0.0733  -0.0687
   4.2966457679   4.2965153137   2.51996  4.19561   -0.2545  -0.3395  -0.0947  -0.0898
   4.3325145351   4.3324038150   2.53387  4.19771   -0.2770  -0.3625  -0.1159  -0.1107
   4.3683833024   4.3682936646   2.54768  4.19979   -0.2993  -0.3855  -0.1371  -0.1316
   4.4042520696   4.4041849351   2.56140  4.20185   -0.3214  -0.4082  -0.1581  -0.1522
   4.4401208369   4.4400776350   2.57502  4.20390   -0.3434  -0.4309  -0.1789  -0.1728
   4.4759896041   4.4759717837   2.58856  4.20594   -0.3653  -0.4534  -0.1997  -0.1932
   4.5118583714   4.5118583714   2.60196  4.20793   -0.3871  -0.4757  -0.2203  -0.2135
   4.5477271386   4.5477271386   2.61518  4.20989   -0.4087  -0.4978  -0.2408  -0.2337
