# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 5000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.07248  3.43497   14.1938  16.6953  12.7933  12.3088
   0.1030900687   0.1030900687  -3.05536  3.43858   14.1103  16.5467  12.7199  12.2201
   0.1061801375   0.1061801375  -3.03263  3.44319   14.0006  16.3484  12.6240  12.1055
   0.1092702062   0.1092702062  -2.98582  3.44997   13.8050  16.0205  12.4503  11.9083
   0.1123602749   0.1123602749  -2.94023  3.45657   13.6155  15.7124  12.2823  11.7223
   0.1154503437   0.1154503437  -2.89579  3.46300   13.4316  15.4205  12.1198  11.5461
   0.1185404124   0.1185404124  -2.85237  3.46929   13.2531  15.1417  11.9628  11.3786
   0.1216304811   0.1216304811  -2.81700  3.47368   13.1170  14.9388  11.8419  11.2523
   0.1247205498   0.1247205498  -2.78881  3.47639   13.0179  14.7996  11.7522  11.1601
   0.1278106186   0.1278106186  -2.76132  3.47904   12.9218  14.6657  11.6654  11.0712
   0.1309006873   0.1309006873  -2.73447  3.48162   12.8286  14.5368  11.5812  10.9855
   0.1339907560   0.1339907560  -2.70822  3.48414   12.7380  14.4123  11.4994  10.9026
   0.1370808248   0.1370808248  -2.68254  3.48661   12.6496  14.2917  11.4196  10.8224
   0.1401708935   0.1401708935  -2.65739  3.48903   12.5633  14.1747  11.3417  10.7444
   0.1432609622   0.1432609622  -2.63273  3.49141   12.4789  14.0610  11.2655  10.6686
   0.1463510310   0.1463510310  -2.60854  3.49373   12.3961  13.9501  11.1906  10.5946
   0.1494410997   0.1494410997  -2.58476  3.49601   12.3149  13.8422  11.1172  10.5225
   0.1525311684   0.1525311684  -2.56468  3.49755   12.2503  13.7600  11.0578  10.4641
   0.1556212371   0.1556212371  -2.54570  3.49890   12.1903  13.6849  11.0024  10.4097
   0.1587113059   0.1587113059  -2.52707  3.50022   12.1317  13.6118  10.9481  10.3565
   0.1618013746   0.1618013746  -2.50878  3.50152   12.0743  13.5407  10.8951  10.3044
   0.1648914433   0.1648914433  -2.49081  3.50280   12.0182  13.4714  10.8431  10.2535
   0.1679815121   0.1679815121  -2.47316  3.50405   11.9634  13.4040  10.7924  10.2037
   0.1710715808   0.1710715808  -2.45582  3.50527   11.9098  13.3385  10.7427  10.1549
   0.1741616495   0.1741616495  -2.43878  3.50648   11.8574  13.2748  10.6942  10.1072
   0.1772517183   0.1772517183  -2.42203  3.50767   11.8061  13.2126  10.6466  10.0605
   0.1803417870   0.1803417870  -2.40569  3.50881   11.7563  13.1525  10.6004  10.0150
   0.1834318557   0.1834318557  -2.39056  3.50977   11.7110  13.0987  10.5582   9.9734
   0.1865219244   0.1865219244  -2.37567  3.51071   11.6665  13.0458  10.5166   9.9326
   0.1896119932   0.1896119932  -2.36101  3.51164   11.6226  12.9936  10.4756   9.8924
